Transaction_ID,Customer_ID,Product_ID,Product_Name,Order_Date,Quantity,Price,Discount,Total_Amount ((harga x jumlah) - diskon),Payment_Method,Delivery_City,Delivery_Status
1001,10034,2022,NASI GORENG,2023-01-01 00:00:00,1,48402,0,48402,Credit Card,Bandung,Pending
1002,10032,2048,Nasi Goreng,2023-01-02 00:00:00,7,35841,5000,245887,E-Wallet,Surabaya,Delivered
1003,10029,2004,Ayam Bakar,2023-01-03 00:00:00,5,29269,5000,141345,E-Wallet,Yogyakarta,Canceled
1003,10029,2004,Ayam Bakar,2023-01-03 00:00:00,5,29269,5000,141345,E-Wallet,Yogyakarta,Canceled
1004,10042,2036,mie goreng,2023-01-04 00:00:00,9,12105,0,108945,Bank Transfer,Medan,Canceled
1005,10025,2013,Ikan Bakar,2023-01-05 00:00:00,1,36316,10000,26316,Bank Transfer,Surabaya,Canceled
1006,10007,2012,Ikan Bakar,2023-01-06 00:00:00,2,16984,10000,23968,Credit Card,Medan,Canceled
1007,10022,2012,IKAN BAKAR,2023-01-07 00:00:00,2,39218,0,78436,Credit Card,Medan,Pending
1008,10041,2018,Mie Goreng,2023-01-08 00:00:00,4,24905,5000,94620,Credit Card,Yogyakarta,Delivered
1009,10037,2042,Mie Goreng,2023-01-09 00:00:00,1,16781,10000,6781,Credit Card,Surabaya,Pending
1010,10006,2021,Sate Ayam,2023-01-10 00:00:00,5,24711,5000,118555,Bank Transfer,Yogyakarta,Delivered
1010,10006,2021,Sate Ayam,2023-01-10 00:00:00,5,24711,5000,118555,Bank Transfer,Yogyakarta,Delivered
1011,10031,2001,MIE GORENG,2023-01-11 00:00:00,2,32151,5000,59302,Credit Card,Surabaya,Delivered
1012,10002,2026,Ikan Bakar,2023-01-12 00:00:00,3,18315,5000,49945,Bank Transfer,Medan,Delivered
1012,10002,2026,Ikan Bakar,2023-01-12 00:00:00,3,18315,5000,49945,Bank Transfer,Medan,Delivered
1013,10042,2004,ikan bakar,2023-01-13 00:00:00,4,12254,10000,39016,Credit Card,Jakarta,Canceled
1014,10014,2049,Ikan Bakar,2023-01-14 00:00:00,2,45122,5000,85244,Bank Transfer,Bandung,Canceled
1015,10028,2044,Ayam Bakar,2023-01-15 00:00:00,1,18550,5000,13550,Bank Transfer,Yogyakarta,Canceled
1015,10028,2044,Ayam Bakar,2023-01-15 00:00:00,1,18550,5000,13550,Bank Transfer,Yogyakarta,Canceled
1016,10003,2041,NASI GORENG,2023-01-16 00:00:00,1,29257,10000,19257,Credit Card,Yogyakarta,Pending
1017,10037,2038,Sate Ayam,2023-01-17 00:00:00,1,21610,10000,11610,Credit Card,Surabaya,Pending
1018,10037,2015,Mie Goreng,2023-01-18 00:00:00,5,31476,0,157380,E-Wallet,Medan,Pending
1019,10034,2002,mie goreng,2023-01-19 00:00:00,1,26983,5000,21983,Credit Card,Yogyakarta,Canceled
1020,10024,2016,Nasi Goreng,2023-01-20 00:00:00,7,33526,10000,224682,Credit Card,Surabaya,Canceled
1021,10010,2022,Ayam Bakar,2023-01-21 00:00:00,5,45769,10000,218845,Credit Card,Surabaya,Pending
1021,10010,2022,Ayam Bakar,2023-01-21 00:00:00,5,45769,10000,218845,Credit Card,Surabaya,Pending
1022,10011,2048,mie goreng,2023-01-22 00:00:00,6,18324,5000,104944,Bank Transfer,Medan,Canceled
1023,10030,2046,Mie Goreng,2023-01-23 00:00:00,9,14553,0,130977,E-Wallet,Jakarta,Delivered
1024,10010,2020,Ikan Bakar,2023-01-24 00:00:00,7,41940,10000,283580,E-Wallet,Medan,Canceled
1025,10030,2016,Ikan Bakar,2023-01-25 00:00:00,8,13217,0,105736,Credit Card,Medan,Delivered
